2026-05-13 10:51:06 | INFO | P02 | === RUN START ===
2026-05-13 10:51:06 | INFO | P02 | project=P02
2026-05-13 10:51:06 | INFO | P02 | repo_dir=datafun-02-automation
2026-05-13 10:51:06 | INFO | P02 | python=3.14.0
2026-05-13 10:51:06 | INFO | P02 | os=Windows 11
2026-05-13 10:51:06 | INFO | P02 | shell=powershell
2026-05-13 10:51:06 | INFO | P02 | cwd=.
2026-05-13 10:51:06 | INFO | P02 | github_actions=False
2026-05-13 10:51:06 | INFO | P02 | ========================
2026-05-13 10:51:06 | INFO | P02 | START main()
2026-05-13 10:51:06 | INFO | P02 | ========================
2026-05-13 10:51:06 | INFO | P02 | ========================
2026-05-13 10:51:06 | INFO | P02 | FUNCTION 1: for loop over a numeric range
2026-05-13 10:51:06 | INFO | P02 | ========================
2026-05-13 10:51:06 | INFO | P02 | First quarter: 1
2026-05-13 10:51:06 | INFO | P02 | Last quarter:  4
2026-05-13 10:51:06 | INFO | P02 | Wrote file: case_quarter_1.txt
2026-05-13 10:51:06 | INFO | P02 | Wrote file: case_quarter_2.txt
2026-05-13 10:51:06 | INFO | P02 | Wrote file: case_quarter_3.txt
2026-05-13 10:51:06 | INFO | P02 | Wrote file: case_quarter_4.txt
2026-05-13 10:51:06 | INFO | P02 | ========================
2026-05-13 10:51:06 | INFO | P02 | FUNCTION 2: for loop over a list
2026-05-13 10:51:06 | INFO | P02 | ========================
2026-05-13 10:51:06 | INFO | P02 | Pet list: ['dog', 'cat', 'fish']
2026-05-13 10:51:06 | INFO | P02 | Wrote file: case_dog.txt
2026-05-13 10:51:06 | INFO | P02 | Wrote file: case_cat.txt
2026-05-13 10:51:06 | INFO | P02 | Wrote file: case_fish.txt
2026-05-13 10:51:06 | INFO | P02 | ========================
2026-05-13 10:51:06 | INFO | P02 | FUNCTION 3: list comprehension
2026-05-13 10:51:06 | INFO | P02 | ========================
2026-05-13 10:51:06 | INFO | P02 | Original list: ['dog', 'cat', 'fish']
2026-05-13 10:51:06 | INFO | P02 | Transformed list: ['favorite_dog', 'favorite_cat', 'favorite_fish']
2026-05-13 10:51:06 | INFO | P02 | Wrote file: case_favorite_dog.txt
2026-05-13 10:51:06 | INFO | P02 | Wrote file: case_favorite_cat.txt
2026-05-13 10:51:06 | INFO | P02 | Wrote file: case_favorite_fish.txt
2026-05-13 10:51:06 | INFO | P02 | ========================
2026-05-13 10:51:06 | INFO | P02 | FUNCTION 4: while loop with counter
2026-05-13 10:51:06 | INFO | P02 | ========================
2026-05-13 10:51:06 | INFO | P02 | Files to create: 3
2026-05-13 10:51:06 | INFO | P02 | Seconds between files: 1
2026-05-13 10:51:06 | INFO | P02 | Wrote file: case_01.txt
2026-05-13 10:51:06 | INFO | P02 | Waiting 1 second(s)...
2026-05-13 10:51:07 | INFO | P02 | Wrote file: case_02.txt
2026-05-13 10:51:07 | INFO | P02 | Waiting 1 second(s)...
2026-05-13 10:51:08 | INFO | P02 | Wrote file: case_03.txt
2026-05-13 10:51:08 | INFO | P02 | Waiting 1 second(s)...
2026-05-13 10:51:09 | INFO | P02 | ========================
2026-05-13 10:51:09 | INFO | P02 | Executed successfully!
2026-05-13 10:51:09 | INFO | P02 | ========================
2026-05-13 10:51:45 | INFO | P02 | === RUN START ===
2026-05-13 10:51:45 | INFO | P02 | project=P02
2026-05-13 10:51:45 | INFO | P02 | repo_dir=datafun-02-automation
2026-05-13 10:51:45 | INFO | P02 | python=3.14.0
2026-05-13 10:51:45 | INFO | P02 | os=Windows 11
2026-05-13 10:51:45 | INFO | P02 | shell=powershell
2026-05-13 10:51:45 | INFO | P02 | cwd=.
2026-05-13 10:51:45 | INFO | P02 | github_actions=False
2026-05-13 10:51:45 | INFO | P02 | ========================
2026-05-13 10:51:45 | INFO | P02 | START main()
2026-05-13 10:51:45 | INFO | P02 | ========================
2026-05-13 10:51:45 | INFO | P02 | ========================
2026-05-13 10:51:45 | INFO | P02 | FUNCTION 1: for loop over a numeric range
2026-05-13 10:51:45 | INFO | P02 | ========================
2026-05-13 10:51:45 | INFO | P02 | First quarter: 1
2026-05-13 10:51:45 | INFO | P02 | Last quarter:  4
2026-05-13 10:51:45 | INFO | P02 | Wrote file: case_quarter_1.txt
2026-05-13 10:51:45 | INFO | P02 | Wrote file: case_quarter_2.txt
2026-05-13 10:51:45 | INFO | P02 | Wrote file: case_quarter_3.txt
2026-05-13 10:51:45 | INFO | P02 | Wrote file: case_quarter_4.txt
2026-05-13 10:51:45 | INFO | P02 | ========================
2026-05-13 10:51:45 | INFO | P02 | FUNCTION 2: for loop over a list
2026-05-13 10:51:45 | INFO | P02 | ========================
2026-05-13 10:51:45 | INFO | P02 | Pet list: ['dog', 'cat', 'fish']
2026-05-13 10:51:45 | INFO | P02 | Wrote file: case_dog.txt
2026-05-13 10:51:45 | INFO | P02 | Wrote file: case_cat.txt
2026-05-13 10:51:45 | INFO | P02 | Wrote file: case_fish.txt
2026-05-13 10:51:45 | INFO | P02 | ========================
2026-05-13 10:51:45 | INFO | P02 | FUNCTION 3: list comprehension
2026-05-13 10:51:45 | INFO | P02 | ========================
2026-05-13 10:51:45 | INFO | P02 | Original list: ['dog', 'cat', 'fish']
2026-05-13 10:51:45 | INFO | P02 | Transformed list: ['favorite_dog', 'favorite_cat', 'favorite_fish']
2026-05-13 10:51:45 | INFO | P02 | Wrote file: case_favorite_dog.txt
2026-05-13 10:51:45 | INFO | P02 | Wrote file: case_favorite_cat.txt
2026-05-13 10:51:45 | INFO | P02 | Wrote file: case_favorite_fish.txt
2026-05-13 10:51:45 | INFO | P02 | ========================
2026-05-13 10:51:45 | INFO | P02 | FUNCTION 4: while loop with counter
2026-05-13 10:51:45 | INFO | P02 | ========================
2026-05-13 10:51:45 | INFO | P02 | Files to create: 3
2026-05-13 10:51:45 | INFO | P02 | Seconds between files: 1
2026-05-13 10:51:45 | INFO | P02 | Wrote file: case_01.txt
2026-05-13 10:51:45 | INFO | P02 | Waiting 1 second(s)...
2026-05-13 10:51:46 | INFO | P02 | Wrote file: case_02.txt
2026-05-13 10:51:46 | INFO | P02 | Waiting 1 second(s)...
2026-05-13 10:51:47 | INFO | P02 | Wrote file: case_03.txt
2026-05-13 10:51:47 | INFO | P02 | Waiting 1 second(s)...
2026-05-13 10:51:48 | INFO | P02 | ========================
2026-05-13 10:51:48 | INFO | P02 | Executed successfully!
2026-05-13 10:51:48 | INFO | P02 | ========================
2026-05-13 10:52:01 | INFO | P02 | === RUN START ===
2026-05-13 10:52:01 | INFO | P02 | project=P02
2026-05-13 10:52:01 | INFO | P02 | repo_dir=datafun-02-automation
2026-05-13 10:52:01 | INFO | P02 | python=3.14.0
2026-05-13 10:52:01 | INFO | P02 | os=Windows 11
2026-05-13 10:52:01 | INFO | P02 | shell=powershell
2026-05-13 10:52:01 | INFO | P02 | cwd=.
2026-05-13 10:52:01 | INFO | P02 | github_actions=False
2026-05-13 10:52:01 | INFO | P02 | ========================
2026-05-13 10:52:01 | INFO | P02 | START main()
2026-05-13 10:52:01 | INFO | P02 | ========================
2026-05-13 10:52:01 | INFO | P02 | ========================
2026-05-13 10:52:01 | INFO | P02 | FUNCTION 1: for loop over a numeric range
2026-05-13 10:52:01 | INFO | P02 | ========================
2026-05-13 10:52:01 | INFO | P02 | First quarter: 1
2026-05-13 10:52:01 | INFO | P02 | Last quarter:  4
2026-05-13 10:52:01 | INFO | P02 | Wrote file: case_quarter_1.txt
2026-05-13 10:52:01 | INFO | P02 | Wrote file: case_quarter_2.txt
2026-05-13 10:52:01 | INFO | P02 | Wrote file: case_quarter_3.txt
2026-05-13 10:52:01 | INFO | P02 | Wrote file: case_quarter_4.txt
2026-05-13 10:52:01 | INFO | P02 | ========================
2026-05-13 10:52:01 | INFO | P02 | FUNCTION 2: for loop over a list
2026-05-13 10:52:01 | INFO | P02 | ========================
2026-05-13 10:52:01 | INFO | P02 | Pet list: ['dog', 'cat', 'fish']
2026-05-13 10:52:01 | INFO | P02 | Wrote file: case_dog.txt
2026-05-13 10:52:01 | INFO | P02 | Wrote file: case_cat.txt
2026-05-13 10:52:01 | INFO | P02 | Wrote file: case_fish.txt
2026-05-13 10:52:01 | INFO | P02 | ========================
2026-05-13 10:52:01 | INFO | P02 | FUNCTION 3: list comprehension
2026-05-13 10:52:01 | INFO | P02 | ========================
2026-05-13 10:52:01 | INFO | P02 | Original list: ['dog', 'cat', 'fish']
2026-05-13 10:52:01 | INFO | P02 | Transformed list: ['favorite_dog', 'favorite_cat', 'favorite_fish']
2026-05-13 10:52:01 | INFO | P02 | Wrote file: case_favorite_dog.txt
2026-05-13 10:52:01 | INFO | P02 | Wrote file: case_favorite_cat.txt
2026-05-13 10:52:01 | INFO | P02 | Wrote file: case_favorite_fish.txt
2026-05-13 10:52:01 | INFO | P02 | ========================
2026-05-13 10:52:01 | INFO | P02 | FUNCTION 4: while loop with counter
2026-05-13 10:52:01 | INFO | P02 | ========================
2026-05-13 10:52:01 | INFO | P02 | Files to create: 3
2026-05-13 10:52:01 | INFO | P02 | Seconds between files: 1
2026-05-13 10:52:01 | INFO | P02 | Wrote file: case_01.txt
2026-05-13 10:52:01 | INFO | P02 | Waiting 1 second(s)...
2026-05-13 10:52:02 | INFO | P02 | Wrote file: case_02.txt
2026-05-13 10:52:02 | INFO | P02 | Waiting 1 second(s)...
2026-05-13 10:52:03 | INFO | P02 | Wrote file: case_03.txt
2026-05-13 10:52:03 | INFO | P02 | Waiting 1 second(s)...
2026-05-13 10:52:04 | INFO | P02 | ========================
2026-05-13 10:52:04 | INFO | P02 | Executed successfully!
2026-05-13 10:52:04 | INFO | P02 | ========================
2026-08-17 23:26:37 | INFO | P01 | === RUN START ===
2026-08-17 23:26:37 | INFO | P01 | project=P02
2026-08-17 23:26:37 | INFO | P01 | repo_dir=datafun-02-automation
2026-08-17 23:26:37 | INFO | P01 | python=3.14.7
2026-08-17 23:26:37 | INFO | P01 | os=Windows 11
2026-08-17 23:26:37 | INFO | P01 | shell=powershell
2026-08-17 23:26:37 | INFO | P01 | cwd=.
2026-08-17 23:26:37 | INFO | P01 | github_actions=False
2026-08-17 23:26:37 | INFO | P01 | ===================================
2026-08-17 23:26:37 | INFO | P01 | START main()
2026-08-17 23:26:37 | INFO | P01 | ===================================
2026-08-17 23:26:37 | INFO | P01 | Data folder = data
2026-08-17 23:26:37 | INFO | P01 | Data file = data\penguins.csv
2026-08-17 23:26:37 | INFO | P01 | -------------------------------
2026-08-17 23:26:37 | INFO | P01 | 01. LOAD the data.
2026-08-17 23:26:37 | INFO | P01 | -------------------------------
2026-08-17 23:26:37 | INFO | P01 | START load_data
2026-08-17 23:26:37 | INFO | P01 |    data_file:   data\penguins.csv
2026-08-17 23:26:37 | INFO | P01 |    File exists: False
2026-08-17 23:27:50 | INFO | P01 | === RUN START ===
2026-08-17 23:27:50 | INFO | P01 | project=P02
2026-08-17 23:27:50 | INFO | P01 | repo_dir=datafun-02-automation
2026-08-17 23:27:50 | INFO | P01 | python=3.14.7
2026-08-17 23:27:50 | INFO | P01 | os=Windows 11
2026-08-17 23:27:50 | INFO | P01 | shell=powershell
2026-08-17 23:27:50 | INFO | P01 | cwd=.
2026-08-17 23:27:50 | INFO | P01 | github_actions=False
2026-08-17 23:27:50 | INFO | P01 | ===================================
2026-08-17 23:27:50 | INFO | P01 | START main()
2026-08-17 23:27:50 | INFO | P01 | ===================================
2026-08-17 23:27:50 | INFO | P01 | Data folder = data
2026-08-17 23:27:50 | INFO | P01 | Data file = data\penguins.csv
2026-08-17 23:27:50 | INFO | P01 | -------------------------------
2026-08-17 23:27:50 | INFO | P01 | 01. LOAD the data.
2026-08-17 23:27:50 | INFO | P01 | -------------------------------
2026-08-17 23:27:50 | INFO | P01 | START load_data
2026-08-17 23:27:50 | INFO | P01 |    data_file:   data\penguins.csv
2026-08-17 23:27:50 | INFO | P01 |    File exists: True
2026-08-17 23:27:50 | INFO | P01 | END load_data. Returning pandas DataFrame.
2026-08-17 23:27:50 | INFO | P01 | -------------------------------
2026-08-17 23:27:50 | INFO | P01 | 02. INSPECT the data.
2026-08-17 23:27:50 | INFO | P01 | -------------------------------
2026-08-17 23:27:50 | INFO | P01 | START inspect
2026-08-17 23:27:50 | INFO | P01 |    row_count:    344
2026-08-17 23:27:50 | INFO | P01 |    column_count: 8
2026-08-17 23:27:50 | INFO | P01 |    column_names: ['species', 'island', 'bill_length_mm', 'bill_depth_mm', 'flipper_length_mm', 'body_mass_g', 'sex', 'year']
2026-08-17 23:27:50 | INFO | P01 | END inspect. Returning inspection_string.
2026-08-17 23:27:50 | INFO | P01 | 
----------------
Data Inspection:
----------------
    One row means: one penguin
    Row count: 344
    Column count: 8
    Column names: ['species', 'island', 'bill_length_mm', 'bill_depth_mm', 'flipper_length_mm', 'body_mass_g', 'sex', 'year']

---------------
First Few Rows:
---------------
  species     island  bill_length_mm  bill_depth_mm  flipper_length_mm  body_mass_g     sex  year
0  Adelie  Torgersen            39.1           18.7              181.0       3750.0    male  2007
1  Adelie  Torgersen            39.5           17.4              186.0       3800.0  female  2007
2  Adelie  Torgersen            40.3           18.0              195.0       3250.0  female  2007
3  Adelie  Torgersen             NaN            NaN                NaN          NaN     NaN  2007
4  Adelie  Torgersen            36.7           19.3              193.0       3450.0  female  2007

2026-08-17 23:27:50 | INFO | P01 | -------------------------------
2026-08-17 23:27:50 | INFO | P01 | 03. REPEAT logic using a for loop.
2026-08-17 23:27:50 | INFO | P01 | -------------------------------
2026-08-17 23:27:50 | INFO | P01 | Column name: species
2026-08-17 23:27:50 | INFO | P01 | Column name: island
2026-08-17 23:27:50 | INFO | P01 | Column name: bill_length_mm
2026-08-17 23:27:50 | INFO | P01 | Column name: bill_depth_mm
2026-08-17 23:27:50 | INFO | P01 | Column name: flipper_length_mm
2026-08-17 23:27:50 | INFO | P01 | Column name: body_mass_g
2026-08-17 23:27:50 | INFO | P01 | Column name: sex
2026-08-17 23:27:50 | INFO | P01 | Column name: year
2026-08-17 23:27:50 | INFO | P01 | Species: Adelie
2026-08-17 23:27:50 | INFO | P01 | Species: Adelie
2026-08-17 23:27:50 | INFO | P01 | Species: Adelie
2026-08-17 23:27:50 | INFO | P01 | Species: Adelie
2026-08-17 23:27:50 | INFO | P01 | Species: Adelie
2026-08-17 23:27:50 | INFO | P01 | Species: Adelie
2026-08-17 23:27:50 | INFO | P01 | Species: Adelie
2026-08-17 23:27:50 | INFO | P01 | Species: Adelie
2026-08-17 23:27:50 | INFO | P01 | Species: Adelie
